,60/40,BTC,ETH,HFs,PE,RealEstate,Macro,SG CTA,Commodities,Gold
2015-05-01,271.87603161670177,234.8,23.066674254300747,1247.79,33.69630432128906,18.346490859985263,1042.522,2302.133,20.861791610717756,113.08000183105469
2015-05-04,272.12685193854367,237.51,23.332903756980283,1249.25,33.83716583251953,18.402870178222567,1042.522,2301.444,20.866809844970685,114.0999984741211
2015-05-05,270.04939637660374,234.69,23.05586789072335,1244.6,33.499080657958984,18.07019996643058,1042.522,2279.158,20.851747512817365,114.41999816894531
2015-05-06,268.8556093877622,234.0,22.988082519192396,1241.2,33.3018684387207,17.937696456909094,1042.522,2262.194,20.833669662475568,114.36000061035156
2015-05-07,269.9559610302186,237.2,23.302449459625798,1241.39,33.35820388793945,18.08570480346671,1042.522,2265.745,20.500198364257795,113.41999816894531
2015-05-08,272.52187288294743,245.31,24.099173174286694,1245.73,33.752655029296875,18.388780593871985,1042.522,2281.546,20.72117042541502,113.97000122070312
2015-05-11,270.6811970958874,242.61,23.833926068296016,1245.95,33.66812515258789,18.19847869873038,1042.522,2275.229,20.64584350585936,113.52999877929688
2015-05-12,270.2670949303874,241.38,23.713091275566928,1243.68,33.639949798583984,18.230897903442294,1042.522,2268.887,20.851747512817365,114.5
2015-05-13,270.15862325568094,243.2,23.89188747293842,1243.1,33.86534881591797,18.142087936401282,1042.522,2270.796,20.856765747070295,116.55000305175781
2015-05-14,272.2354520105563,236.81,23.264135988760476,1244.74,34.175262451171875,18.452217102050696,1042.522,2274.717,20.952190399169904,117.18000030517578
2015-05-15,273.17489610182344,237.31,23.313255823203196,1246.58,34.37248992919922,18.621370315551673,1042.522,2281.602,20.861791610717756,117.52999877929688
2015-05-18,272.9733198001561,232.08,22.79946235493236,1247.84,34.428836822509766,18.536788940429606,1042.522,2277.683,20.821611404418928,117.5199966430664
2015-05-19,272.44901526941675,231.83,22.774902437711,1249.53,34.37248992919922,18.480401992797766,1042.522,2288.245,20.44847106933592,115.88999938964844
2015-05-20,272.56110903363856,233.92,22.980223345681566,1249.55,34.51334762573242,18.473354339599528,1042.522,2293.315,20.349534988403303,116.08000183105469
2015-05-21,273.6764946085301,235.51,23.136424419209412,1250.53,34.710575103759766,18.35354042053215,1042.522,2295.076,20.625749588012678,115.69000244140625
2015-05-22,273.03688649370366,239.53,23.53134788812887,1251.74,34.738746643066406,18.321813583373945,1042.522,2296.343,20.424869537353498,115.5999984741211
2015-05-25,273.03688649370366,235.57,23.14231879934254,1251.74,34.738746643066406,18.321813583373945,1042.522,2295.623,20.424869537353498,115.5999984741211
2015-05-26,271.90036100117976,236.2,23.204209790740368,1249.69,34.37248992919922,18.13503456115715,1042.522,2292.068,20.073320388793928,113.91000366210938
2015-05-27,273.4088409124614,235.57,23.14231879934254,1251.96,34.48517608642578,18.283050537109297,1042.522,2303.015,19.86741638183592,113.88999938964844
2015-05-28,273.3204862988364,236.08,23.192421030474115,1250.51,34.597877502441406,18.226667404174727,1042.522,2299.551,19.87243461608885,114.0199966430664
2015-05-29,272.34526142997095,235.95,23.179649873519004,1249.43,34.45701217651367,18.078655242919844,1042.522,2289.853,20.103454589843736,114.0999984741211
2015-06-01,272.2112357076697,221.98,21.80724169918944,1252.28,34.45701217651367,18.191427230834886,1042.522,2281.709,19.992967605590803,114.0
2015-06-02,271.3063151214764,225.09,22.112767069423153,1251.31,34.710575103759766,18.076539993286058,1042.522,2263.206,20.289274215698228,114.45999908447266
2015-06-03,270.8451599214176,226.96,22.29647525023892,1251.99,34.93596267700195,17.88130950927727,1042.522,2264.645,20.098434448242173,113.63999938964844
2015-06-04,269.951693260479,223.68,21.974249136294684,1247.49,34.65422439575195,17.764310836791918,1042.522,2257.811,19.867416381835923,112.83999633789062
2015-06-05,268.9091297776426,224.88,22.092136738957212,1247.71,34.45701217651367,17.57400512695305,1042.522,2255.372,19.987949371337876,112.23999786376953
2015-06-08,268.04758133128877,228.48,22.445799546944784,1244.9,34.34430694580078,17.528894424438402,1042.522,2237.795,19.96785736083983,112.56999969482422
2015-06-09,267.6839868560611,229.81,22.576458306562415,1243.16,34.034385681152344,17.493654251098558,1042.522,2225.508,20.16874504089354,112.81999969482422
2015-06-10,269.24422430528244,228.46,22.443834753567074,1245.8,34.54152297973633,17.712148666381758,1042.522,2224.065,20.38720703124999,113.77999877929688
2015-06-11,270.59771115962434,228.8,22.477236240988127,1248.02,34.569705963134766,17.768531799316328,1042.522,2239.179,20.143632888793935,113.26000213623047
2015-06-12,269.2674447458332,229.9,22.585299876762107,1246.85,34.54152297973633,17.719196319580004,1042.522,2232.272,19.98794937133788,113.2300033569336
2015-06-15,268.81166054584884,235.93,23.1776850801413,1243.63,34.287960052490234,17.655763626098558,1042.522,2224.547,19.90759277343749,113.7300033569336
2015-06-16,270.1057862847135,246.32,24.198395239860993,1244.03,34.175262451171875,17.77064704895012,1042.522,2223.348,19.882484436035146,113.31999969482422
2015-06-17,270.43241265934034,250.31,24.59037151871389,1244.46,34.23160934448242,17.824922561645433,1042.522,2221.193,19.93270111083983,113.8499984741211
2015-06-18,272.06980304084374,249.08,24.469536725984803,1245.93,34.40065383911133,18.071605682372965,1042.522,2219.072,19.93270111083983,115.31999969482422
2015-06-19,271.8892326890229,246.04,24.170888132573065,1244.45,34.380245208740234,17.951795578002848,1042.522,2221.311,19.76195144653319,115.12000274658203
2015-06-22,271.84997336750877,247.24,24.288775735235596,1248.02,34.70100402832031,17.95883560180656,1042.522,2235.369,19.884998321533185,113.63999938964844
2015-06-23,271.64800516732674,244.36,24.005845488845534,1252.11,34.8468132019043,17.831260681152262,1042.522,2238.171,20.068300247192365,112.88999938964844
2015-06-24,270.7446614806982,240.98,23.673795408012754,1249.37,34.584381103515625,17.720952987670817,1042.522,2231.44,19.91225814819334,112.58999633789062
2015-06-25,269.9802745173996,240.66,23.642358713969415,1246.96,34.671844482421875,17.592845916747965,1042.522,2223.815,19.79610633850096,112.44000244140625
2015-06-26,269.44857675516636,241.27,23.702284911989537,1246.35,34.613521575927734,17.628435134887614,1042.522,2224.427,19.856702804565415,112.55999755859375
2015-06-29,267.191895767884,255.53,25.103182590295873,1233.24,33.5929069519043,17.40709877014152,1042.522,2190.935,19.70015144348143,113.06999969482422
2015-06-30,267.2220315724855,260.97,25.63760638903266,1233.9,33.797035217285156,17.394285202026285,1040.501,2193.018,19.932456970214826,112.37000274658203
2015-07-01,267.9486212818705,258.85,25.42933829099553,1235.17,33.942848205566406,17.453359603881754,1040.501,2201.637,19.581481933593732,111.9800033569336
2015-07-02,268.17782741080765,255.81,25.130689697583797,1234.18,33.82619094848633,17.554414749145426,1040.501,2200.031,19.563804626464826,111.76000213623047
2015-07-03,268.17782741080765,255.22,25.072728292941388,1234.18,33.82619094848633,17.554414749145426,1040.501,2200.527,19.563804626464826,111.76000213623047
2015-07-06,268.4727504534283,273.94,26.911774894476785,1229.73,33.12635040283203,17.514564514160075,1040.501,2205.847,19.003248214721662,112.05999755859375
2015-07-07,269.7708007186695,265.92,26.123892750015578,1229.77,32.951377868652344,17.760093688964762,1040.501,2220.86,18.90729904174803,110.76000213623047
2015-07-08,267.4804755813037,268.05,26.333143244741557,1222.99,32.13488006591797,17.578617095947184,1040.501,2206.425,18.634595870971665,111.08999633789062
2015-07-09,267.0142925333018,270.31,26.555164896422642,1226.96,32.834739685058594,17.635551452636637,1040.501,2204.645,18.811346054077134,111.36000061035156
2015-07-10,268.2796258390899,287.13,28.207556127075698,1233.12,33.797035217285156,17.789983749389567,1040.501,2200.365,18.927497863769517,111.48999786376953
2015-07-13,269.77798677108837,289.49,28.43940174564533,1238.5,34.0886344909668,17.841938018798746,1040.501,2208.373,18.99819946289061,110.98999786376953
2015-07-14,270.8231963447955,290.34,28.522905464197947,1239.2,34.23444366455078,17.91453170776359,1040.501,2211.434,18.967901229858384,110.73999786376953
2015-07-15,271.1765799925927,290.77,28.56514852181869,1239.7,34.17612075805664,17.905990600585856,1040.501,2229.713,18.74569702148436,110.16000366210938
2015-07-16,272.4521112988087,278.11,27.321434313729053,1241.82,34.55520248413086,18.091028213500895,1040.501,2240.386,18.574003219604478,109.76000213623047
2015-07-17,272.60253375182896,278.27,27.337152660750714,1243.02,34.55520248413086,18.04832839965812,1040.501,2247.074,18.543699264526353,108.6500015258789
2015-07-20,272.47405370441874,277.55,27.266420099153205,1241.98,34.526039123535156,18.034099578857344,1040.501,2251.567,18.152322769165025,105.69999694824219
