Date,Daily ROR,Index Value
04/07/2021,0.05%,1409.06
04/06/2021,0.59%,1408.35
04/01/2021,0.13%,1400.07
03/31/2021,0.08%,1398.3
03/30/2021,0.11%,1397.16
03/29/2021,-0.04%,1395.58
03/26/2021,0.28%,1396.11
03/25/2021,0.01%,1392.28
03/24/2021,-0.28%,1392.1
03/23/2021,-0.42%,1395.97
03/22/2021,0.04%,1401.91
03/19/2021,-0.18%,1401.39
03/18/2021,-0.07%,1403.91
03/17/2021,0.01%,1404.86
03/16/2021,0.05%,1404.73
03/15/2021,0.03%,1403.97
03/12/2021,0.06%,1403.53
03/11/2021,0.43%,1402.68
03/10/2021,0.16%,1396.72
03/09/2021,0.21%,1394.51
03/08/2021,-0.12%,1391.56
03/05/2021,0.02%,1393.19
03/04/2021,-0.55%,1392.85
03/03/2021,-0.16%,1400.57
03/02/2021,-0.21%,1402.79
03/01/2021,0.47%,1405.75
02/26/2021,-0.33%,1399.11
02/25/2021,-0.23%,1403.8
02/24/2021,0.06%,1407.04
02/23/2021,-0.13%,1406.26
02/22/2021,-0.34%,1408.1
02/19/2021,0.14%,1412.87
02/18/2021,-0.17%,1410.96
02/17/2021,0.00%,1413.36
02/16/2021,0.13%,1413.42
02/15/2021,0.10%,1411.54
02/12/2021,0.04%,1410.19
02/11/2021,0.18%,1409.63
02/10/2021,0.09%,1407.11
02/09/2021,0.20%,1405.78
02/08/2021,0.20%,1403.01
02/05/2021,0.33%,1400.19
02/04/2021,0.20%,1395.55
02/03/2021,0.31%,1392.83
02/02/2021,0.41%,1388.52
02/01/2021,0.33%,1382.78
01/29/2021,-0.07%,1378.2
01/28/2021,-0.09%,1379.23
01/27/2021,-0.77%,1380.41
01/26/2021,-0.26%,1391.08
01/25/2021,-0.08%,1394.71
01/22/2021,-0.03%,1395.85
01/21/2021,0.11%,1396.31
01/20/2021,0.29%,1394.83
01/19/2021,-0.02%,1390.82
01/18/2021,0.01%,1391.11
01/15/2021,-0.13%,1390.93
01/14/2021,0.13%,1392.72
01/13/2021,0.07%,1390.92
01/12/2021,0.06%,1390.01
01/11/2021,-0.17%,1389.16
01/08/2021,0.22%,1391.58
01/07/2021,0.28%,1388.5
01/06/2021,0.14%,1384.69
01/05/2021,0.15%,1382.8
01/04/2021,0.02%,1380.73
12/31/2020,0.19%,1380.48
12/30/2020,0.24%,1377.91
12/29/2020,0.16%,1374.62
12/28/2020,0.13%,1372.47
12/24/2020,0.01%,1370.7
12/23/2020,0.04%,1370.55
12/22/2020,0.02%,1370.03
12/21/2020,-0.06%,1369.74
12/18/2020,0.08%,1370.54
12/17/2020,0.23%,1369.48
12/16/2020,0.24%,1366.32
12/15/2020,0.12%,1363.01
12/14/2020,0.13%,1361.38
12/11/2020,0.05%,1359.61
12/10/2020,0.03%,1358.96
12/09/2020,-0.06%,1358.59
12/08/2020,0.14%,1359.36
12/07/2020,0.07%,1357.53
12/04/2020,0.21%,1356.64
12/03/2020,0.14%,1353.86
12/02/2020,0.06%,1352.01
12/01/2020,0.27%,1351.15
11/30/2020,-0.18%,1347.47
11/27/2020,0.27%,1349.86
11/26/2020,-0.01%,1346.2
11/25/2020,0.02%,1346.31
11/24/2020,0.16%,1346.1
11/23/2020,0.13%,1343.9
11/20/2020,0.20%,1342.17
11/19/2020,0.15%,1339.54
11/18/2020,-0.07%,1337.51
11/17/2020,0.06%,1338.44
11/16/2020,0.24%,1337.6
11/13/2020,0.17%,1334.43
11/12/2020,0.11%,1332.19
11/11/2020,-0.09%,1330.66
11/10/2020,-0.13%,1331.9
11/09/2020,0.17%,1333.67
11/06/2020,0.08%,1331.36
11/05/2020,0.59%,1330.25
11/04/2020,0.48%,1322.45
11/03/2020,0.31%,1316.19
11/02/2020,0.12%,1312.07
10/30/2020,-0.16%,1310.57
10/29/2020,-0.45%,1312.64
10/28/2020,-0.19%,1318.52
10/27/2020,-0.22%,1321.09
10/26/2020,-0.07%,1323.97
10/23/2020,0.05%,1324.92
10/22/2020,-0.07%,1324.23
10/21/2020,-0.04%,1325.16
10/20/2020,0.04%,1325.69
10/19/2020,-0.11%,1325.16
10/16/2020,-0.05%,1326.62
10/15/2020,-0.08%,1327.28
10/14/2020,0.02%,1328.33
10/13/2020,0.14%,1328.07
10/12/2020,0.15%,1326.23
10/09/2020,0.15%,1324.23
10/08/2020,0.19%,1322.31
10/07/2020,0.14%,1319.77
10/06/2020,0.01%,1317.93
10/05/2020,0.28%,1317.76
10/02/2020,-0.07%,1314.07
10/01/2020,0.13%,1315.05
09/30/2020,0.05%,1313.39
09/29/2020,0.12%,1312.68
09/28/2020,0.30%,1311.12
09/25/2020,0.01%,1307.25
09/24/2020,-0.09%,1307.1
09/23/2020,-0.18%,1308.22
09/22/2020,-0.15%,1310.55
09/21/2020,-0.22%,1312.47
09/18/2020,-0.05%,1315.42
09/17/2020,-0.04%,1316.03
09/16/2020,0.05%,1316.53
09/15/2020,0.19%,1315.84
09/14/2020,0.26%,1313.34
09/11/2020,0.03%,1309.9
09/10/2020,-0.04%,1309.55
09/09/2020,0.10%,1310.13
09/08/2020,-0.21%,1308.8
09/04/2020,-0.32%,1311.59
09/03/2020,-0.35%,1315.75
09/02/2020,0.19%,1320.33
09/01/2020,0.17%,1317.82
08/31/2020,0.11%,1315.64
08/28/2020,0.03%,1314.13
08/27/2020,0.02%,1313.79
08/26/2020,0.13%,1313.49
08/25/2020,0.02%,1311.81
08/24/2020,0.26%,1311.55
08/21/2020,0.06%,1308.19
08/20/2020,-0.08%,1307.36
08/19/2020,-0.01%,1308.35
08/18/2020,0.16%,1308.5
08/17/2020,0.12%,1306.44
08/14/2020,-0.10%,1304.86
08/13/2020,0.13%,1306.21
08/12/2020,0.09%,1304.55
08/11/2020,-0.10%,1303.41
08/10/2020,-0.08%,1304.7
08/07/2020,-0.06%,1305.7
08/06/2020,0.05%,1306.46
08/05/2020,0.25%,1305.78
08/04/2020,0.27%,1302.53
08/03/2020,0.25%,1298.98
07/31/2020,0.06%,1295.72
07/30/2020,-0.04%,1294.95
07/29/2020,0.11%,1295.46
07/28/2020,0.04%,1294.02
07/27/2020,0.03%,1293.45
07/24/2020,-0.31%,1293.03
07/23/2020,-0.04%,1297.09
07/22/2020,0.02%,1297.57
07/21/2020,0.22%,1297.33
07/20/2020,0.25%,1294.5
07/17/2020,0.15%,1291.31
07/16/2020,-0.09%,1289.38
07/15/2020,0.27%,1290.52
07/14/2020,-0.03%,1287.06
07/13/2020,-0.01%,1287.48
07/10/2020,0.02%,1287.63
07/09/2020,0.11%,1287.38
07/08/2020,0.11%,1286.01
